DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
21/12/2023;RENAISSANCE: A FILM BY BEYONCÉ;E2300491200000;VÍDEOMUSICAL;ESTADOS UNIDOS;157654;R$ 5.666.284,16;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;749;01.289.530/0001-64
21/12/2023;THE NUTCRACKER AND THE MAGIC FLUTE;E2300425600000;ANIMAÇÃO;RÚSSIA;36237;R$ 656.263,55;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
21/12/2023;THE NUTCRACKER AND THE MAGIC FLUTE;E2300425600000;ANIMAÇÃO;RÚSSIA;364;R$ 9.060,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
21/12/2023;THE THREE MUSKETEERS: MILADY;E2300468200000;FICÇÃO;ALEMANHA;21248;R$ 451.961,71;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
16/12/2023;SEVENTEEN TOUR 'FOLLOW' TO JAPAN: LIVE VIEWING;E2300549400000;VÍDEOMUSICAL;CORÉIA DO SUL;6140;R$ 215.725,00;CINECOLOR DO BRASIL LTDA;2631;05.332.959/0001-48
14/12/2023;GODZILLA MINUS ONE;E2300479200000;FICÇÃO;JAPÃO;254034;R$ 4.726.587,95;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;45604;33.356.343/0001-42
14/12/2023;LA LIGNE;E2300494900000;FICÇÃO;SUÍÇA;714;R$ 12.770,94;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
14/12/2023;LA SOCIEDAD DE LA NIEVE;E2300467800000;FICÇÃO;CHILE;1746;R$ 25.348,25;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
14/12/2023;NEXT GOAL WINS;E2300491100000;FICÇÃO;ESTADOS UNIDOS;2511;R$ 63.234,19;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
14/12/2023;THE HAUNTING OF THE QUEEN MARY;E2300256000000;FICÇÃO;ESTADOS UNIDOS;61689;R$ 1.156.157,09;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
